Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.081645	1.201060	98.287994	73.799995	
0.001000	0.080017	1.196076	98.337997	73.689995	
0.001000	0.079498	1.204962	98.439995	73.709999	
0.001000	0.079501	1.204674	98.332001	74.009995	
0.001000	0.077313	1.208804	98.489998	73.869995	
0.001000	0.076891	1.207550	98.503998	73.799995	
0.001000	0.075881	1.202308	98.479996	73.989998	
0.001000	0.076935	1.209818	98.416000	73.949997	
0.001000	0.076021	1.211534	98.449997	74.129997	
0.001000	0.075829	1.214859	98.528000	73.869995	
0.001000	0.074118	1.213088	98.472000	73.860001	
0.001000	0.074737	1.204656	98.461998	74.139999	
0.001000	0.072265	1.226002	98.610001	73.540001	
0.001000	0.071956	1.209851	98.491997	73.820000	
0.001000	0.073292	1.223676	98.517998	73.699997	
0.001000	0.070272	1.225663	98.708000	73.750000	
0.001000	0.071519	1.229465	98.577995	73.720001	
0.001000	0.070787	1.224806	98.619995	73.869995	
0.001000	0.069908	1.216636	98.709999	73.799995	
0.001000	0.068148	1.226894	98.743996	74.000000	
0.001000	0.070046	1.218436	98.661995	73.830002	
0.001000	0.069851	1.219027	98.638000	73.639999	
0.001000	0.069942	1.220532	98.591995	73.680000	
0.001000	0.068687	1.221691	98.661995	73.709999	
0.001000	0.067379	1.234458	98.691994	73.689995	
0.001000	0.066232	1.225488	98.809998	74.009995	
0.001000	0.067008	1.236876	98.720001	73.449997	
0.001000	0.065984	1.238237	98.764000	73.559998	
0.001000	0.065971	1.246391	98.821999	73.519997	
0.001000	0.065452	1.229665	98.841995	74.009995	
0.001000	0.066882	1.244526	98.792000	73.669998	
0.001000	0.064809	1.234619	98.871994	73.849998	
0.001000	0.064471	1.243486	98.806000	73.540001	
0.001000	0.064625	1.247926	98.790001	73.759995	
0.001000	0.064762	1.239539	98.771996	73.739998	
0.001000	0.064862	1.230616	98.709999	73.549995	
0.001000	0.065136	1.244038	98.755997	73.599998	
0.001000	0.064250	1.249645	98.818001	73.349998	
0.001000	0.063004	1.244941	98.843994	73.500000	
0.001000	0.062757	1.237482	98.897995	73.909996	
0.001000	0.062463	1.256178	98.867996	73.369995	
0.001000	0.062640	1.255780	98.899994	73.169998	
0.001000	0.063108	1.240797	98.843994	73.549995	
0.001000	0.062550	1.248343	98.907997	73.610001	
0.001000	0.061460	1.250205	98.905998	73.339996	
0.001000	0.062423	1.254031	98.857994	73.529999	
0.001000	0.061545	1.257297	98.879997	73.339996	
0.001000	0.062238	1.254406	98.860001	73.580002	
0.001000	0.061846	1.261088	98.825996	73.529999	
0.001000	0.060792	1.233711	98.961998	73.930000	
0.001000	0.059978	1.249795	98.939995	73.680000	
0.001000	0.060880	1.256321	98.958000	73.680000	
0.001000	0.059484	1.251052	98.965996	73.769997	
0.001000	0.061138	1.252651	98.867996	73.580002	
0.001000	0.059261	1.249361	98.967995	73.599998	
0.001000	0.059445	1.261384	98.958000	73.720001	
0.001000	0.060259	1.248652	98.903999	73.650002	
0.001000	0.059433	1.253576	98.944000	73.619995	
0.001000	0.059192	1.264695	98.930000	73.659996	
0.001000	0.059282	1.267031	98.941994	73.540001	
0.001000	0.059197	1.259673	98.972000	73.409996	
0.001000	0.058622	1.254243	98.995995	73.629997	
